idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
75,0.454321461679534,0.74342809563459,2.36101151221579,0.255843511282692,0.862074615213803,0,1,1,50,48.96,341,0.42,2.68989547891626,2.37322013111249,2.41585503662978,0,6
76,0.458402941884914,0.75763315402682,2.25622331117467,0.241232137787479,0.885632914512597,0,1,1,50,48.98,339,0.42,2.64599594880596,2.33642512147033,2.37758054832739,0,6
77,0.466587098221884,0.752671985548698,2.32997201567674,0.246415769641989,0.849677407557116,0,1,1,50,49,337,0.41,2.59976653974539,2.299608585133,2.33325745367463,0,6
78,0.460588495749268,0.751518066494319,2.29806430504767,0.248040679706268,0.892743166310434,0,1,1,50,49.02,334,0.4,2.55994879097833,2.26654757833909,2.28365067101413,0,6
79,0.454975804097281,0.748559023879033,2.29613380033376,0.253025020176724,0.889462189911024,0,1,1,50,49.04,331,0.38,2.50664559273936,2.22067264119651,2.24739162073796,0,6
80,0.459758658634691,0.747652371553323,2.30458304646132,0.253608618349005,0.885910893036496,0,1,1,50,49.06,329,0.37,2.46331713728322,2.18343915508656,2.2062945926065,0,6
81,0.452748781854097,0.75446644133269,2.26981785886411,0.245364525692978,0.896160090847451,0,1,1,50,49.08,326,0.35,2.4026854252776,2.13291235013362,2.1489384657374,0,6
82,0.461211671688245,0.761231977832925,2.2405194175264,0.236757120051645,0.907320667014243,0,1,1,50,49.1,322,0.34,2.35656283788377,2.08999693810311,2.10647847275885,0,6
83,0.4639306819545,0.772737810061046,2.16990750455998,0.226476072674432,0.898949093257948,0,1,1,50,49.12,318,0.33,2.3006722478192,2.03949271391244,2.05534536889771,0,6
84,0.455839159481633,0.741179958493922,2.34738992027405,0.251926103548548,0.854797385988618,0,1,1,50,49.14,315,0.33,2.23879283358502,1.98648106083662,2.00276553347061,0,6
85,0.454520730741225,0.746814834729877,2.29732737043814,0.248695255390634,0.907472078469343,0,1,1,50,49.17,311,0.31,2.18437123304954,1.94042113347262,1.95115665726682,0,6
86,0.461664167012453,0.755880752252524,2.27940059708342,0.238938672284439,0.909793891862353,0,1,1,50,49.18,305,0.3,2.1323765222586,1.89806552238207,1.90065110579561,0,6
87,0.457477800458952,0.755275600066464,2.23724471059611,0.237021593865562,0.926873359068414,0,1,1,50,49.2,297,0.27,2.05674147711963,1.82910216081615,1.82720334449498,0,6
88,0.450249471781283,0.738061849582995,2.30542922869579,0.258635219738208,0.884563413884257,0,1,1,50,49.22,290,0.25,1.97869516832373,1.76066923004517,1.75169539462887,0,6
89,0.445144519087861,0.744258049150802,2.27887095011452,0.248850344277239,0.909632660630938,0,1,1,50,49.24,285,0.24,1.92239605258083,1.71023846242172,1.69568714402665,0,6
90,0.459210881033398,0.761730652041438,2.19767606255227,0.228265384740195,0.943119986516891,0,1,1,50,49.26,279,0.24,1.86726610499132,1.66396274221867,1.64437443158614,0,6
91,0.450591292677694,0.783478015606882,2.02085907016873,0.215173833083988,0.933296969117137,0,1,1,50,49.28,272,0.22,1.80583063408139,1.613164088868,1.58748017990044,0,6
