idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,scm_COR_S,scm_IDM_S,scm_ENT_S,scm_CSD_S,scm_CSR_S,scm_DKL_S,scm_MDR_S,scm_CAD_S,scm_COR_T,scm_IDM_T,scm_ENT_T,scm_CSD_T,scm_CSR_T,scm_DKL_T,scm_MDR_T,scm_CAD_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
52,0.979094258470974,0.926921508286678,2.28457330727742,0.0299102552594527,0.491351164080034,0,1,1,0.979350413240349,0.928212077895558,2.28392502485158,0.0293114200853986,0.477830748337886,0,1,1,0.969145746916954,0.898892564360708,2.38647259313443,0.053696022590681,0.595602828816035,0,1,1,47.5,46.71,332,0.37,2.21151223389825,2.20962679142829,2.27068758295176,0,1
53,0.964447865700168,0.874722275677473,2.49697382380747,0.0775734130083276,0.513312176854628,0,1,1,0.979527462916936,0.931723315444246,2.26187278761565,0.0232621259382913,0.524177564819887,0,1,1,0.96630685903272,0.906634753123357,2.22580312050839,0.0622889543631047,0.887921163927467,0,1,1,47.5,46.73,329,0.36,2.16707550197683,2.16497996546063,2.22257090603593,0,1
54,0.978601761283938,0.92220295842709,2.32059523870648,0.0377156627005893,0.43592805339077,0,1,1,0.973175296818114,0.910431726724813,2.35364872316915,0.0412674130052411,0.531281654098004,0,1,1,0.963966943492958,0.896507207917952,2.29430375813602,0.0666466856767653,0.847616822413732,0,1,1,47.5,46.75,325,0.34,2.11921931558645,2.11793735472006,2.16928551643988,0,1
55,0.974849423288118,0.907638687191403,2.36932955929257,0.0522941665835826,0.46852396550744,0,1,1,0.97706454987826,0.926406284740235,2.27983379689981,0.0250977710436943,0.572889070296705,0,1,1,0.968117520989784,0.915348564733451,2.17589530647917,0.0525025765305626,0.930655941394066,0,1,1,47.5,46.77,322,0.33,2.07144758869064,2.07254687093046,2.11941024965506,0,1
56,0.976318083624106,0.907754034966686,2.38301811915529,0.0570385132632317,0.407234513395299,0,1,1,0.974029988878974,0.916842394792335,2.32226030953441,0.0334574635737226,0.570836599230856,0,1,1,0.965272698308065,0.90251078500388,2.26285827732182,0.0605637794690358,0.871717028071068,0,1,1,47.5,46.79,317,0.34,2.01590910548213,2.01685763811309,2.0592749601286,0,1
57,0.974907642459615,0.917178758139962,2.32232033595495,0.0358444881768021,0.546622574955757,0,1,1,0.97604237116067,0.924163170249339,2.28419208241468,0.0266521793321039,0.589532585204419,0,1,1,0.968256929271998,0.918712332794355,2.15018972216919,0.0472299400009981,0.968697049657401,0,1,1,47.5,46.81,311,0.3,1.95133259579842,1.95234420287552,1.99084417501645,0,1
58,0.977041642647158,0.921641997382537,2.31234721056062,0.0331193305325278,0.506058850649035,0,1,1,0.976097088945162,0.924453647894095,2.29038310843005,0.0267333105631848,0.576666501874741,0,1,1,0.968467926864437,0.91786907515512,2.16389896341165,0.0483990461654117,0.94107612771974,0,1,1,47.5,46.83,306,0.28,1.89416665751069,1.89641695519824,1.93042485644483,0,1
59,0.970097375731808,0.900706153624442,2.37287589707095,0.0551169975220957,0.590096099399745,0,1,1,0.974146465047898,0.921947891505172,2.28916702207228,0.0269774210683755,0.637104560746601,0,1,1,0.965115918266861,0.914829384319825,2.1628067676452,0.0485331292901572,0.984505546537828,0,1,1,47.5,46.85,300,0.27,1.83188163377248,1.83642750152721,1.86564469032524,0,1
60,0.979021817940801,0.925891633643198,2.29789331101885,0.0336472703251259,0.482738828102451,0,1,1,0.968794049924792,0.906026890878121,2.31853749072753,0.0463791861023234,0.695128810715924,0,1,1,0.965357792136225,0.903995660820828,2.29594631421942,0.0496282119167385,0.828997280000565,0,1,1,47.5,46.87,292,0.25,1.7685498362588,1.77653028166095,1.80168899591741,0,1
61,0.971033345437984,0.892092492149586,2.44961980120439,0.0657005726318193,0.460843620861338,0,1,1,0.972036220330285,0.916338312104829,2.29881579672293,0.0332504762588867,0.661656526197013,0,1,1,0.967133148867516,0.907095299432159,2.3061529584145,0.0435223099207606,0.784230658916787,0,1,1,47.5,46.89,286,0.23,1.70361194518717,1.71078772610392,1.73349204024222,0,1
62,0.97986671250005,0.93222709051925,2.25911373225088,0.0245575207516821,0.524509881883535,0,1,1,0.98010647523426,0.936715500768106,2.23324683073667,0.0186723346805886,0.56598165167695,0,1,1,0.965335814985772,0.90406104220157,2.28557067951438,0.0510816499250138,0.846483011997935,0,1,1,47.5,46.91,276,0.22,1.63460264057931,1.64406205160078,1.66200724596495,0,1
63,0.976808170733458,0.927660995565781,2.25955393855487,0.0250178088814034,0.616995022131725,0,1,1,0.967462136038448,0.910912734560029,2.21830044584705,0.0514378685251732,0.861028816635338,0,1,1,0.971326125048467,0.931775404856413,2.09408540736016,0.0301503808734794,0.976826026633107,0,1,1,47.5,46.93,266,0.2,1.56231232184662,1.57301100722688,1.58795421613735,0,1
64,0.973850183205469,0.920454336260378,2.27575032306652,0.0309094115443674,0.660071457849809,0,1,1,0.96803327384727,0.911593648015461,2.23103587655155,0.0481963940381238,0.837047936584254,0,1,1,0.970890138845005,0.927454508356365,2.12193141025876,0.0371621005349905,0.950414113567949,0,1,1,47.5,46.95,252,0.18,1.45425314498627,1.46928811817512,1.47728002815987,0,1
65,0.979921827778371,0.938086303939963,2.21817149356667,0.0167688850681602,0.629268754803299,0,1,1,0.968733753981104,0.910862951560308,2.24303493635849,0.0479916007395604,0.812946152006428,0,1,1,0.959427614008874,0.897811136449336,2.31067804738004,0.0503777327300125,0.855428446554069,0,1,1,47.5,46.97,232,0.15,1.36193968014516,1.37736704198241,1.38376647710521,0,1
66,0.975208879426482,0.922202958427091,2.27489422666201,0.0316006815421984,0.655976988280492,0,1,1,0.974937608239979,0.926732526458214,2.24073355317025,0.0262163542136028,0.687257090690008,0,1,1,0.97483476958497,0.942684766214178,2.02937035998269,0.0196557026780157,0.99145641091967,0,1,1,47.5,46.99,218,0.13,1.23524601059154,1.25146999697679,1.25537897329993,0,1
67,0.974729257963344,0.884486113568017,2.56983332066349,0.0670992365604853,0.273613048773943,0,1,1,0.973635827393699,0.895928899082569,2.4308577377849,0.0689494197804556,0.415393758428343,0,1,1,0.959896935027045,0.873515024458421,2.41912726011901,0.0927826127275224,0.71097566947687,0,1,1,50,48.85,375,0.58,3.01955014207837,3.03208870032038,3.09612681906418,0,1
68,0.972911246572798,0.883970086452275,2.56939073813757,0.0593880604931627,0.290743122798588,0,1,1,0.952971892333816,0.897843380200757,2.18302701075001,0.0613017638868096,0.997052568510499,0,1,1,0.961297025508264,0.885378853611461,2.3321568474769,0.0848219987938907,0.811601244726015,0,1,1,50,48.87,373,0.57,2.97340051130861,2.98515352712083,3.05080553219601,0,1
69,0.975409071771894,0.889568914903838,2.57129220919967,0.0555781739390844,0.264273127882131,0,1,1,0.944003721572524,0.872326319829722,2.28857670654404,0.0874036909864495,0.920658197510485,0,1,1,0.961252827219001,0.871216741300901,2.47511356470457,0.0865548265897498,0.606531076116367,0,1,1,50,48.89,371,0.55,2.93800528075235,2.94707980638462,3.01841610765236,0,1
70,0.968589281780113,0.90655256191754,2.32446648840515,0.0394947230981017,0.696298056693794,0,1,1,0.97226926576134,0.902364194188774,2.39049649305448,0.0517836187121285,0.509655895574851,0,1,1,0.96001165882847,0.87538079064393,2.3964061460363,0.0928533736317557,0.737055786653803,0,1,1,50,48.91,370,0.55,2.90487925862949,2.91499664271737,2.98269902819721,0,1
